Name,Jumanji,Star Wars: The Last Jedi,Peter Rabbit,The Black Panther,The Shape of Water
Jon,4,3,3,5,,
Becca,3,,3,5,,
Jesse,3,,2,5,,
Ash,,4,,,4
Cezar,,4,,,3

